name                      old time/op    new time/op    delta
HMAC/sign-HS384-4             7.00 ± 0%     17.00 ± 0%  +142.86%  (p=0.000 n=10+10)
HMAC/sign-HS384-reuse-4       2.00 ± 0%      6.00 ± 0%  +200.00%  (p=0.000 n=10+10)
HMAC/check-HS384-4            32.0 ± 0%      35.0 ± 0%    +9.38%  (p=0.000 n=10+10)
HMAC/check-HS384-reuse-4      27.0 ± 0%      26.0 ± 0%    -3.70%  (p=0.000 n=10+10)
HMAC/sign-HS512-4             7.00 ± 0%     17.00 ± 0%  +142.86%  (p=0.000 n=10+10)
HMAC/sign-HS512-reuse-4       2.00 ± 0%      6.00 ± 0%  +200.00%  (p=0.000 n=10+10)
HMAC/check-HS512-4            32.0 ± 0%      35.0 ± 0%    +9.38%  (p=0.000 n=10+10)
HMAC/check-HS512-reuse-4      27.0 ± 0%      26.0 ± 0%    -3.70%  (p=0.000 n=10+10)
RSA/sign-1024-bit-4            106 ± 0%       110 ± 0%    +3.77%  (p=0.000 n=10+10)
RSA/sign-2048-bit-4            112 ± 0%       116 ± 0%    +3.57%  (p=0.000 n=10+10)
RSA/sign-4096-bit-4            126 ± 0%       130 ± 0%    +3.17%  (p=0.000 n=10+9)
